"😁","😪","😅","😄","😇","😉","😈","✋","😊","😍","✌","😏","😎","😑","😐","😓","😒","😕","😔","💗","😖","💙","😘","😝","😜","😞","😡","😣","😢","🔥","😤","🎧","😩","😫","💪","😌","💜","😱","😰","😳","😴","😷","🎶","☺","😋","👊","🙈","👋","🙊","👍","👌","👏","🙌","💋","🙏","😂","😥","👎","♥","❤","🎉","😭","💕","💔"
"9280","760","6512","5071","4948","17640","2606","1123","6650","89","401","4244","5625","4042","4508","2016","4326","10007","8561","409","1471","601","774","1464","7252","5725","1512","2518","3633","269","946","269","121","195","532","977","2272","2191","2055","3589","235","710","1108","9625","2471","378","1603","419","1689","871","192","187","214","106","637","697","2822","558","1935","772","96","175","616","2730"
"9042","1056","5795","4676","4120","17304","3309","2114","4357","248","630","6556","4775","2798","4125","1696","3543","6089","5502","666","1342","1189","1230","1684","9929","3611","1871","1853","2291","471","1245","998","266","308","1017","2071","2808","2829","1730","4497","310","1327","2269","6301","2564","1124","1827","1242","2563","1611","512","326","360","166","646","2760","2077","1450","2022","803","147","228","926","2753"
